

                                        Root    Hello Max Fwd
Vlan                   Root ID          Cost    Time  Age Dly  Root Port
VLAN0294         33062 a40c.c35c.8b00         0    2   20  15                  
VLAN0295         33063 a40c.c35c.8b00         0    2   20  15                  
VLAN0296         33064 a40c.c35c.8b00         0    2   20  15                  
VLAN0297         33065 a40c.c35c.8b00         0    2   20  15                  
VLAN0298         33066 a40c.c35c.8b00         0    2   20  15                  
VLAN0299         33067 a40c.c35c.8b00         0    2   20  15                  
VLAN0300         33068 a40c.c35c.8b00         0    2   20  15                  
VLAN0301         33069 a40c.c35c.8b00         0    2   20  15                  
VLAN0302         33070 a40c.c35c.8b00         0    2   20  15                  
VLAN0303         33071 a40c.c35c.8b00         0    2   20  15                  
VLAN0304         33072 a40c.c35c.8b00         0    2   20  15                  
VLAN0305         33073 a40c.c35c.8b00         0    2   20  15                  
VLAN0306         33074 a40c.c35c.8b00         0    2   20  15                  
VLAN0307         33075 a40c.c35c.8b00         0    2   20  15                  
VLAN0308         33076 a40c.c35c.8b00         0    2   20  15                  
VLAN0309         33077 a40c.c35c.8b00         0    2   20  15                  
VLAN0310         33078 a40c.c35c.8b00         0    2   20  15                  
VLAN0311         33079 a40c.c35c.8b00         0    2   20  15                  
VLAN0312         33080 a40c.c35c.8b00         0    2   20  15                  
VLAN0313         33081 a40c.c35c.8b00         0    2   20  15                  
VLAN0314         33082 a40c.c35c.8b00         0    2   20  15                  
VLAN0315         33083 a40c.c35c.8b00         0    2   20  15                  
VLAN0316         33084 a40c.c35c.8b00         0    2   20  15                  
VLAN0317         33085 a40c.c35c.8b00         0    2   20  15                  
VLAN0318         33086 a40c.c35c.8b00         0    2   20  15                  
VLAN0319         33087 a40c.c35c.8b00         0    2   20  15                  
VLAN0320         33088 a40c.c35c.8b00         0    2   20  15                  
VLAN0321         33089 a40c.c35c.8b00         0    2   20  15                  
VLAN0322         33090 a40c.c35c.8b00         0    2   20  15                  
VLAN0323         33091 a40c.c35c.8b00         0    2   20  15                  
VLAN0324         33092 a40c.c35c.8b00         0    2   20  15                  
SPIR3560#
