conf tsh span root 

                                        Root    Hello Max Fwd
Vlan                   Root ID          Cost    Time  Age Dly  Root Port
VLAN0297           297 a40c.c35c.8b00         0    2   20  15                  
VLAN0298           298 a40c.c35c.8b00         0    2   20  15                  
VLAN0299           299 a40c.c35c.8b00         0    2   20  15                  
VLAN0300           300 a40c.c35c.8b00         0    2   20  15                  
VLAN0301           301 a40c.c35c.8b00         0    2   20  15                  
VLAN0302           302 a40c.c35c.8b00         0    2   20  15                  
VLAN0303           303 a40c.c35c.8b00         0    2   20  15                  
VLAN0304           304 a40c.c35c.8b00         0    2   20  15                  
VLAN0305           305 a40c.c35c.8b00         0    2   20  15                  
VLAN0306           306 a40c.c35c.8b00         0    2   20  15                  
VLAN0307           307 a40c.c35c.8b00         0    2   20  15                  
VLAN0308           308 a40c.c35c.8b00         0    2   20  15                  
VLAN0309           309 a40c.c35c.8b00         0    2   20  15                  
VLAN0310           310 a40c.c35c.8b00         0    2   20  15                  
VLAN0311           311 a40c.c35c.8b00         0    2   20  15                  
VLAN0312           312 a40c.c35c.8b00         0    2   20  15                  
VLAN0313           313 a40c.c35c.8b00         0    2   20  15                  
VLAN0314           314 a40c.c35c.8b00         0    2   20  15                  
VLAN0315           315 a40c.c35c.8b00         0    2   20  15                  
VLAN0316           316 a40c.c35c.8b00         0    2   20  15                  
VLAN0317           317 a40c.c35c.8b00         0    2   20  15                  
VLAN0318           318 a40c.c35c.8b00         0    2   20  15                  
VLAN0319           319 a40c.c35c.8b00         0    2   20  15                  
VLAN0320           320 a40c.c35c.8b00         0    2   20  15                  
VLAN0321           321 a40c.c35c.8b00         0    2   20  15                  
VLAN0322           322 a40c.c35c.8b00         0    2   20  15                  
VLAN0323           323 a40c.c35c.8b00         0    2   20  15                  
VLAN0324           324 a40c.c35c.8b00         0    2   20  15                  
SPIR3560#
